Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,subject
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,,0,11,11,0,11,11,7,0.294438,0.311249,0,0,1,7,0.436364,11
Bede,Bede,,27,12,39,27,12,39,7,0.295287,0.312201,2871.53567,0,1,6,0.089339,0
Columba,Columba,,13,10,23,13,10,23,7,0.29197,0.308051,856.858978,0,1,6,0.181579,11
D%C3%A1l_Riata,D%C3%A1l_Riata,,14,18,32,14,18,32,7,0.305755,0.32393,1141.541464,0,1,6,0.178571,0
Great_Britain,Great_Britain,,180,35,215,180,35,215,7,0.330211,0.354422,58633.558854,0,1,6,0.040409,7
Ireland,Ireland,,319,71,390,319,71,390,7,0.354991,0.385597,116600.305506,0,1,6,0.028544,5
Isle_of_Man,Isle_of_Man,,49,48,97,49,48,97,7,0.343036,0.370051,21990.412041,0,1,6,0.093373,5
Monarchy,Monarchy,,87,113,200,87,113,200,7,0.361512,0.396551,34803.205324,5,1,6,0.06289,7
Orkney,Orkney,,26,35,61,26,35,61,7,0.32591,0.352085,7950.249807,0,1,6,0.100629,5
Picts,Picts,,20,24,44,20,24,44,7,0.304149,0.323463,5769.224726,0,1,6,0.147937,5
Scotland,Scotland,,338,112,450,338,112,450,6,0.36741,0.403231,172203.337436,0,1,6,0.032343,5
Wales,Wales,,168,57,225,168,57,225,7,0.341764,0.370717,59334.232056,0,1,6,0.037933,5
%C3%85land,%C3%85land,,0,19,19,0,19,19,7,0.319619,0.342442,0,10,1,8,0.289474,5
20th_century,20th_century,,306,93,399,306,93,399,6,0.369082,0.402458,171977.238779,4,1,6,0.031782,0
Baltic_Sea,Baltic_Sea,,57,54,111,57,54,111,7,0.344669,0.373126,12311.224586,10,1,6,0.142503,5
Crimean_War,Crimean_War,,31,25,56,31,25,56,7,0.318736,0.341437,11400.621581,0,1,6,0.121633,0
Currency,Currency,,291,22,313,291,22,313,7,0.318036,0.340052,33546.784609,5,1,6,0.083118,10
Euro,Euro,,97,50,147,97,50,147,6,0.335818,0.362946,11718.393108,10,1,6,0.113534,10
European_Union,European_Union,,248,133,381,248,133,381,6,0.36925,0.406537,97280.968931,10,1,6,0.072498,7
Finland,Finland,,155,73,228,155,73,228,6,0.355614,0.385907,43425.810825,10,1,6,0.068941,5
League_of_Nations,League_of_Nations,,60,77,137,60,77,137,7,0.360837,0.392874,18597.268678,10,1,6,0.119697,7
List_of_countries_by_system_of_government,List_of_countries_by_system_of_government,,246,207,453,246,207,453,6,0.376591,0.420301,93740.075543,5,1,6,0.108011,7
Nationality,Nationality,,27,16,43,27,16,43,7,0.314142,0.335506,1397.902659,9,1,6,0.082321,7
Parliamentary_system,Parliamentary_system,,60,75,135,60,75,135,7,0.348132,0.379533,24457.684609,10,1,6,0.115059,7
Police,Police,,35,62,97,35,62,97,6,0.350298,0.380945,8104.689919,10,1,6,0.08625,7
Russia,Russia,,520,105,625,520,105,625,6,0.364175,0.39836,200388.860591,10,1,6,0.037455,5
Stockholm,Stockholm,,43,20,63,43,20,63,7,0.315094,0.337373,6201.128745,10,1,6,0.075188,5
Sweden,Sweden,,293,96,389,293,96,389,7,0.360484,0.39363,117059.260085,10,1,6,0.04214,5
Time_zone,Time_zone,,351,39,390,351,39,390,6,0.347327,0.372755,56940.459768,5,1,6,0.065219,12
Tourism,Tourism,,147,63,210,147,63,210,6,0.35552,0.384517,62354.331931,5,1,6,0.043325,10
United_Kingdom,United_Kingdom,,972,168,1140,972,168,1140,7,0.383611,0.42358,893154.350053,0,1,6,0.020896,5
World_War_II,World_War_II,,751,119,870,751,119,870,6,0.361577,0.397829,326618.235435,10,1,6,0.024566,0
%C3%89douard_Manet,%C3%89douard_Manet,,0,20,20,0,20,20,7,0.315221,0.335831,0,4,1,9,0.168421,11
Absinthe,Absinthe,,6,36,42,6,36,42,6,0.337271,0.36221,5463.207684,11,1,6,0.131579,4
Beer,Beer,,50,53,103,50,53,103,7,0.349392,0.377938,22871.447578,11,1,6,0.061276,4
Claude_Monet,Claude_Monet,,12,12,24,12,12,24,7,0.311224,0.330061,541.219668,4,1,6,0.187747,11
Diego_Vel%C3%A1zquez,Diego_Vel%C3%A1zquez,,9,37,46,9,37,46,7,0.324918,0.349811,1436.773931,4,1,6,0.130122,11
Edgar_Allan_Poe,Edgar_Allan_Poe,,19,50,69,19,50,69,6,0.349182,0.376949,13506.293394,9,1,6,0.084375,11
France,France,,959,85,1044,959,85,1044,6,0.359557,0.391811,252912.128959,0,1,6,0.025133,5
Francisco_Goya,Francisco_Goya,,7,12,19,7,12,19,7,0.297258,0.314715,381.404135,4,1,6,0.127451,11
Germany,Germany,,743,169,912,743,169,912,6,0.380586,0.42072,408991.425363,10,1,6,0.028845,5
Impressionism,Impressionism,,23,20,43,23,20,43,7,0.31861,0.340282,3293.320063,4,1,6,0.144381,13
Italy,Italy,,550,85,635,550,85,635,7,0.35978,0.39289,149346.306319,10,1,6,0.034343,5
Landscape,Landscape,,13,5,18,13,5,18,7,0.300074,0.315985,1020.170424,7,1,6,0.058824,5
Netherlands,Netherlands,,342,116,458,342,116,458,6,0.36952,0.404843,132776.073197,10,1,6,0.057123,5
Painting,Painting,,40,73,113,40,73,113,7,0.346674,0.376439,20737.541724,4,1,6,0.069307,13
Paris,Paris,,308,112,420,308,112,420,6,0.370397,0.406397,163818.375654,4,1,6,0.03926,5
Photography,Photography,,40,9,49,40,9,49,7,0.308031,0.326351,6276.081573,4,1,6,0.042996,4
Raphael,Raphael,,28,24,52,28,24,52,7,0.316521,0.337371,7540.639842,4,1,6,0.119334,11
Renaissance,Renaissance,,122,63,185,122,63,185,7,0.335791,0.36418,38857.418571,4,1,6,0.066887,0
United_States_dollar,United_States_dollar,,182,42,224,182,42,224,7,0.330561,0.355791,42532.602286,3,1,6,0.025833,10
Washington%2C_D.C.,Washington%2C_D.C.,,171,69,240,171,69,240,6,0.349633,0.380238,51956.551173,3,1,6,0.046273,5
%C3%89ire,%C3%89ire,,0,8,8,0,8,8,7,0.300593,0.31759,0,0,1,10,0.553571,5
