Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,subject,subject_number
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,,0,11,11,0,11,11,7,0.294438,0.311249,0,1,1,7,0.436364,12,12
Bede,Bede,,27,12,39,27,12,39,7,0.295287,0.312201,2871.53567,1,1,6,0.089339,7,7
Columba,Columba,,13,10,23,13,10,23,7,0.29197,0.308051,856.858978,1,1,6,0.181579,12,12
D%C3%A1l_Riata,D%C3%A1l_Riata,,14,18,32,14,18,32,7,0.305755,0.32393,1141.541464,1,1,6,0.178571,7,7
Great_Britain,Great_Britain,,180,35,215,180,35,215,7,0.330211,0.354422,58633.558854,1,1,6,0.040409,2,2
Ireland,Ireland,,319,71,390,319,71,390,7,0.354991,0.385597,116600.305506,1,1,6,0.028544,6,6
Isle_of_Man,Isle_of_Man,,49,48,97,49,48,97,7,0.343036,0.370051,21990.412041,1,1,6,0.093373,6,6
Monarchy,Monarchy,,87,113,200,87,113,200,7,0.361512,0.396551,34803.205324,8,1,6,0.06289,2,2
Orkney,Orkney,,26,35,61,26,35,61,7,0.32591,0.352085,7950.249807,1,1,6,0.100629,6,6
Picts,Picts,,20,24,44,20,24,44,7,0.304149,0.323463,5769.224726,1,1,6,0.147937,6,6
Scotland,Scotland,,338,112,450,338,112,450,6,0.36741,0.403231,172203.337436,1,1,6,0.032343,6,6
Wales,Wales,,168,57,225,168,57,225,7,0.341764,0.370717,59334.232056,1,1,6,0.037933,6,6
%C3%85land,%C3%85land,,0,19,19,0,19,19,7,0.319619,0.342442,0,13,1,8,0.289474,6,6
20th_century,20th_century,,306,93,399,306,93,399,6,0.369082,0.402458,171977.238779,4,1,6,0.031782,7,7
Baltic_Sea,Baltic_Sea,,57,54,111,57,54,111,7,0.344669,0.373126,12311.224586,13,1,6,0.142503,6,6
Crimean_War,Crimean_War,,31,25,56,31,25,56,7,0.318736,0.341437,11400.621581,1,1,6,0.121633,7,7
Currency,Currency,,291,22,313,291,22,313,7,0.318036,0.340052,33546.784609,8,1,6,0.083118,1,1
Euro,Euro,,97,50,147,97,50,147,6,0.335818,0.362946,11718.393108,8,1,6,0.113534,1,1
European_Union,European_Union,,248,133,381,248,133,381,6,0.36925,0.406537,97280.968931,8,1,6,0.072498,2,2
Finland,Finland,,155,73,228,155,73,228,6,0.355614,0.385907,43425.810825,13,1,6,0.068941,6,6
League_of_Nations,League_of_Nations,,60,77,137,60,77,137,7,0.360837,0.392874,18597.268678,13,1,6,0.119697,2,2
List_of_countries_by_system_of_government,List_of_countries_by_system_of_government,,246,207,453,246,207,453,6,0.376591,0.420301,93740.075543,8,1,6,0.108011,2,2
Nationality,Nationality,,27,16,43,27,16,43,7,0.314142,0.335506,1397.902659,3,1,6,0.082321,2,2
Parliamentary_system,Parliamentary_system,,60,75,135,60,75,135,7,0.348132,0.379533,24457.684609,8,1,6,0.115059,2,2
Police,Police,,35,62,97,35,62,97,6,0.350298,0.380945,8104.689919,13,1,6,0.08625,2,2
Russia,Russia,,520,105,625,520,105,625,6,0.364175,0.39836,200388.860591,13,1,6,0.037455,6,6
Stockholm,Stockholm,,43,20,63,43,20,63,7,0.315094,0.337373,6201.128745,13,1,6,0.075188,6,6
Sweden,Sweden,,293,96,389,293,96,389,7,0.360484,0.39363,117059.260085,13,1,6,0.04214,6,6
Time_zone,Time_zone,,351,39,390,351,39,390,6,0.347327,0.372755,56940.459768,8,1,6,0.065219,14,14
Tourism,Tourism,,147,63,210,147,63,210,6,0.35552,0.384517,62354.331931,8,1,6,0.043325,1,1
United_Kingdom,United_Kingdom,,972,168,1140,972,168,1140,7,0.383611,0.42358,893154.350053,1,1,6,0.020896,6,6
World_War_II,World_War_II,,751,119,870,751,119,870,6,0.361577,0.397829,326618.235435,13,1,6,0.024566,7,7
%C3%89douard_Manet,%C3%89douard_Manet,,0,20,20,0,20,20,7,0.315221,0.335831,0,4,1,9,0.168421,12,12
Absinthe,Absinthe,,6,36,42,6,36,42,6,0.337271,0.36221,5463.207684,6,1,6,0.131579,5,5
Beer,Beer,,50,53,103,50,53,103,7,0.349392,0.377938,22871.447578,6,1,6,0.061276,5,5
Claude_Monet,Claude_Monet,,12,12,24,12,12,24,7,0.311224,0.330061,541.219668,4,1,6,0.187747,12,12
